Id,Status,Priority,Desc,CreatedAt,Updated,InProject,DependencyFromThis,DeadLine
1,TODO,Высокий,Написать отчет по проекту,02-03-25 10:58,02-03-25 10:58,а,"5",-,
2,TODO,Высокий,efvegfedscf,02-03-25 10:58,02-03-25 10:58,Задачи без проекта,-,-,
3,DONE,Низкий,Ответить на письма,02-03-25 10:58,02-03-25 10:58,d,-,-,
4,TODO,Высокий,аааа,02-03-25 10:58,02-03-25 10:58,Задачи без проекта,-,-,
5,TODO,Средний,sdadaf,02-03-25 10:58,02-03-25 10:58,d,"8",-,
6,TODO,Средний,dsfsrbgvrwge,02-03-25 10:58,02-03-25 10:58,Задачи без проекта,"4",-,
7,TODO,Высокий,aevgrbhtjyukyjyhrgf,02-03-25 10:58,02-03-25 10:58,d,"3",-,
8,TODO,Высокий,ыавпыкреогнлш,02-03-25 10:58,02-03-25 10:58,d,"2",-,
9,TODO,Средний,ап,02-03-25 10:58,02-03-25 10:58,в,-,-,
10,TODO,Средний,вцаву,02-03-25 10:58,02-03-25 10:58,п,-,-,
11,TODO,Низкий,ds,02-03-25 10:58,02-03-25 10:59,аааааааа,-,-,
